Filename_Original;Es_Moto_o_Motocarguero;Tipo_Contenido;Confianza_Global;Identificacion_Repuesto;Componente_Taxonomia;Sistema;SubSistema;Caracteristicas_Observadas;Compatibilidad_Probable_Texto;Compatibilidad_Probable_JSON;Funcion;Nombre_Comercial_Catalogo;Tags_Sugeridos;Notas_Sobre_Textos_Grabados;Necesita_Modelo_Grande
-1 (9).jpg;True;repuesto_moto;0.85;Válvula de admisión o escape para motor de motocicleta;Válvula de motor;Motor;Sistema de válvulas;Tres piezas metálicas alargadas, con cabeza plana y tallo cilíndrico, acabado en metal oscuro, con grabados numéricos y letras en la base;Motos con motores de 4 tiempos, compatible con modelos utilitarios y estándar de 100 a 150cc;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y estándar', 'cilindraje': '100-150', 'posicion': 'N/A', 'lado': 'N/A'}];Permite la entrada de mezcla aire-combustible o la salida de gases quemados en el motor, controlando el flujo dentro de la cámara de combustión.;Juego de válvulas motor moto 100-150cc;Motor, Válvula, Válvula de admisión, Válvula de escape, Moto 100cc, Moto 125cc, Repuesto motor;Se observan números y letras grabados en la base de cada válvula, posiblemente códigos de medida o referencia, no se usan para nombre comercial.;False
-1.jpg;True;repuesto_moto;0.85;Batería recargable de litio 12V;Batería;Eléctrico;Alimentación eléctrica;Batería cilíndrica compacta, color negro, etiqueta amarilla con texto, 12V, 1.5Ah, batería de litio-ion;Motos eléctricas o motocargueros pequeños que usen batería recargable de 12V y 1.5Ah;[{'marca': 'GENERICA', 'modelo': 'Motos eléctricas y motocargueros pequeños', 'cilindraje': 'N/A', 'posicion': 'N/A', 'lado': 'N/A'}];Proveer energía eléctrica para el arranque y funcionamiento de componentes eléctricos en motos o motocargueros eléctricos.;Batería litio 12V 1.5Ah para moto eléctrica;Batería, Litio, 12V, Moto eléctrica, Motocarguero, Repuesto eléctrico;Se observa texto en la etiqueta que indica '12V', '1.5Ah Li-ion' y un código 'DL140612'. No se usan estos textos directamente en el nombre comercial.;False
-10.jpg;True;repuesto_moto;0.9;Escobillas de motor de arranque con resortes y tornillos;Escobillas de motor;Eléctrico;Motor de arranque;Dos escobillas de carbón con cable de cobre trenzado, dos resortes metálicos helicoidales y dos tornillos con cabeza Phillips, piezas metálicas y carbón, acabado básico funcional;Motos y motocargueros con motor de arranque eléctrico estándar, común en modelos utilitarios y de baja cilindrada;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y motocargueros con motor de arranque eléctrico', 'cilindraje': '100-150', 'posicion': 'N/A', 'lado': 'N/A'}];Las escobillas permiten la transmisión de corriente eléctrica al rotor del motor de arranque para que este gire y encienda el motor de la motocicleta o motocarguero.;Escobillas motor arranque moto 100-150cc;Escobillas, Motor de arranque, Repuesto eléctrico, Moto utilitaria, Motocarguero, 100cc, 125cc, 150cc;No se observan textos grabados visibles en las piezas de carbón o tornillos en la imagen proporcionada.;False
-11 (2).jpg;True;repuesto_moto;0.85;Extractor de volante magnético;Herramienta de taller;Motor;Arranque y encendido;Metal, forma cilíndrica con rosca externa, hexágono para llave, diseño robusto para extracción;Motos y motocargueros con volante magnético desmontable, común en motores pequeños 100-150cc;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y motocargueros', 'cilindraje': '100-150', 'posicion': 'N/A', 'lado': 'N/A'}];Esta herramienta se usa para extraer el volante magnético del motor sin dañarlo, facilitando reparaciones o mantenimiento del sistema de encendido.;Extractor volante magnético moto 100-150cc;Extractor, Volante magnético, Herramienta moto, Motor, Encendido, Mantenimiento moto;Etiqueta con números y símbolos, posiblemente código de fabricación o modelo del extractor, no usados para nombre comercial.;False
-11 (3).jpg;True;repuesto_moto;0.85;Extractor de volante magnético;Herramienta de taller;Motor;Arranque y encendido;Metal, estructura con dos garras ajustables, tornillos de presión, barra central para aplicar fuerza, piezas desmontables;Motos y motocargueros con volante magnético que requieren extracción para mantenimiento o reparación;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y motocargueros', 'cilindraje': '100-200', 'posicion': 'N/A', 'lado': 'N/A'}];Esta herramienta se usa para extraer el volante magnético del motor sin dañarlo, facilitando el acceso a componentes internos para mantenimiento o reparación.;Extractor volante magnético moto 100-200cc;Extractor, Volante magnético, Herramienta taller, Motor, Motos utilitarias, Motocarguero;No se observan textos grabados visibles en la imagen.;False
-11 (4).jpg;True;repuesto_moto;0.75;Amoladora o herramienta rotativa portátil para motos;Herramienta de taller;Mantenimiento;Herramientas de corte y pulido;Cuerpo cilíndrico con empuñadura negra, parte metálica frontal para montaje de discos o accesorios, estuche plástico azul;Herramienta compatible para mantenimiento y reparación de motos y motocargueros, uso general en talleres;[{'marca': 'GENERICA', 'modelo': 'Herramienta universal para motos y motocargueros', 'cilindraje': 'N/A', 'posicion': 'N/A', 'lado': 'N/A'}];Permite cortar, pulir o lijar piezas metálicas o plásticas en motos o motocargueros durante tareas de mantenimiento o reparación;Amoladora portátil para taller moto;Herramienta, Amoladora, Taller moto, Mantenimiento, Corte, Pulido;No se observan textos grabados visibles en la imagen;False
-11.jpg;True;repuesto_moto;0.75;Caja porta fusibles transparente para motocicleta;Porta fusibles;Eléctrico;Protección eléctrica;Caja plástica transparente en colores verde y rojo, con tapa desmontable, diseño compacto, material plástico rígido;Motos y motocargueros con sistema eléctrico que usan fusibles estándar en caja plástica;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y motocargueros estándar', 'cilindraje': '100-150', 'posicion': 'N/A', 'lado': 'N/A'}];Protege los fusibles eléctricos de la motocicleta o motocarguero, evitando daños por polvo, humedad o contacto accidental, asegurando el correcto funcionamiento del sistema eléctrico.;Caja porta fusibles plástica moto 100-150cc;Eléctrico, Porta fusibles, Caja fusibles, Moto utilitaria, Motocarguero, Protección eléctrica;No se observan textos grabados visibles en las cajas plásticas, solo colores verde y rojo translúcidos.;False
-117.jpg;True;repuesto_moto;0.85;Filtro de aire de motocicleta;Filtro de aire;Motor;Admisión;Cuerpo cilíndrico de plástico negro, con orificios en la parte superior para paso de aire, tamaño compacto, diseño cerrado en la base;Motos utilitarias y deportivas de cilindrada media y baja;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y deportivas', 'cilindraje': '100-250', 'posicion': 'N/A', 'lado': 'N/A'}];Filtra el aire que entra al motor para evitar que partículas de polvo y suciedad dañen el motor y afecten su rendimiento.;Filtro de aire moto 100-250cc;Filtro de aire, Motor, Admisión, Moto utilitaria, Moto deportiva, 100cc, 250cc;Se observa texto blanco con caracteres 'VSV' y algunos números, posiblemente código de pieza o fabricante, no usados en nombre comercial.;False
-12 (2).jpg;True;repuesto_moto;0.85;Extractor de volante magnético;Herramienta especial;Motor;Arranque y encendido;Cuerpo metálico cilíndrico con rosca interna, dos extremos con tornillos para ajuste y presión, acabado metálico oscuro;Motos y motocargueros con volante magnético desmontable, común en motores pequeños 100-150cc;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias 100-150cc', 'cilindraje': '100-150', 'posicion': 'N/A', 'lado': 'N/A'}];Permite extraer el volante magnético del motor sin dañarlo, facilitando tareas de mantenimiento o reparación del sistema de encendido.;Extractor volante magnético moto 100-150cc;Extractor, Volante magnético, Herramienta especial, Motor, Encendido, Motos 100cc, Motos 125cc;No se observan textos grabados visibles en la imagen.;False
-12 (3).jpg;True;repuesto_moto;0.85;Kit de pastillas de freno con resortes y clips;Pastilla de freno;Frenos;Freno delantero o trasero de disco;Conjunto de pastillas de freno con material de fricción negro, resortes metálicos y clips de sujeción, piezas metálicas y plásticas, acabado estándar para freno de disco;Motos utilitarias y deportivas con freno de disco delantero o trasero, cilindraje 100-250cc;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y deportivas', 'cilindraje': '100-250', 'posicion': 'Delantero o Trasero', 'lado': 'N/A'}];Las pastillas de freno presionan el disco para detener o reducir la velocidad de la moto mediante fricción.;Kit pastillas freno disco moto 100-250cc;Frenos, Pastillas de freno, Freno de disco, Moto utilitaria, Moto deportiva, 100cc, 125cc, 150cc, 250cc;No se observan textos grabados visibles en la imagen.;False
-121.jpg;True;repuesto_moto;0.85;Bombilla LED para luz trasera o intermitente;Bombilla LED;Eléctrico;Iluminación trasera o señalización;Cuerpo plástico blanco, dos chips LED visibles, base metálica tipo bayoneta para encaje en portalámparas, tamaño compacto;Motos y motocargueros con portalámparas tipo bayoneta para luces traseras o intermitentes, generalmente 12V;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y motocargueros', 'cilindraje': '100-150', 'posicion': 'Trasero', 'lado': 'N/A'}];Proveer iluminación eficiente y de bajo consumo para luces traseras o intermitentes en motos o motocargueros;Bombilla LED para luz trasera moto 12V;LED, Bombilla, Luz trasera, Intermitente, Moto, Motocarguero, 12V, Bajo consumo;No se observan textos grabados visibles en la imagen;False
-13 (2).jpg;True;repuesto_moto;0.85;Llave para tuerca de eje trasero;Herramienta de mantenimiento;Transmisión;Ajuste de eje trasero;Metal cromado, forma plana con un extremo circular abierto para encajar tuerca, orificio en extremo opuesto para colgar o sujetar;Motos utilitarias y deportivas con tuerca de eje trasero estándar;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y deportivas', 'cilindraje': '100-250', 'posicion': 'Trasero', 'lado': 'N/A'}];Esta herramienta se usa para ajustar o aflojar la tuerca del eje trasero de la moto, facilitando el mantenimiento o cambio de la rueda trasera.;Llave para tuerca eje trasero moto;Herramienta, Llave, Eje trasero, Ajuste, Mantenimiento, Moto, Motocicleta;No se observan textos grabados visibles en la pieza.;False
-13.jpg;True;repuesto_moto;0.85;Controlador de luces LED para motocicleta;Controlador LED;Eléctrico;Iluminación;Cuerpo plástico pequeño y alargado, con cables rojo y negro para conexión, texto impreso indicando funciones como 'COLOR', 'STROBE', 'SOUND', 'DUAL', diseño compacto para instalación en sistema eléctrico de moto;Compatible con sistemas de luces LED de motocicletas estándar, especialmente para luces auxiliares o intermitentes LED;[{'marca': 'GENERICA', 'modelo': 'Motocicletas estándar con luces LED', 'cilindraje': 'desconocido', 'posicion': 'N/A', 'lado': 'N/A'}];Este controlador regula diferentes modos de iluminación LED como cambio de color, parpadeo (strobe), sonido y modos duales para luces auxiliares o intermitentes en motocicletas.;Controlador LED para luces moto;Controlador LED, luces moto, iluminación LED, accesorio eléctrico, luces intermitentes, luces auxiliares;Textos visibles en el cuerpo plástico: COLOR, STROBE, SOUND, DUAL, y símbolos eléctricos. No se usan para nombre comercial.;False
-14 (2).jpg;True;repuesto_moto;0.85;Bujía de encendido;Bujía;Motor;Encendido;Cuerpo metálico roscado, electrodo central y aislante cerámico blanco, tamaño pequeño y cilíndrico;Motos y motocargueros con motor de combustión interna, generalmente 4 tiempos, cilindradas variadas;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y motocargueros', 'cilindraje': '100-250', 'posicion': 'N/A', 'lado': 'N/A'}];Genera la chispa necesaria para encender la mezcla de aire y combustible dentro del motor.;Bujía encendido moto 100-250cc;Bujía, Encendido, Motor, Moto, Motocarguero, Repuesto, Chispa;No se observan textos claros en la imagen debido a baja resolución y enfoque parcial.;False
-14.jpg;True;repuesto_moto;0.75;Tapa de tanque de combustible;Tapa;Carrocería;Tanque de combustible;Forma ovalada, color negro brillante, superficie lisa, sin visible mecanismo de cierre en la imagen;Motos utilitarias y deportivas con tanque de combustible ovalado;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y deportivas', 'cilindraje': '100-250', 'posicion': 'N/A', 'lado': 'N/A'}];Cubre y protege la boca del tanque de combustible para evitar derrames y contaminación.;Tapa tanque combustible moto ovalada negra;Tapa tanque, tanque combustible, tapa moto, repuesto moto, carrocería moto;No se observan textos grabados visibles en la imagen.;False
-15 (2).jpg;True;repuesto_moto;0.85;Soporte metálico para guardabarros o protector de cadena;Soporte metálico;Carrocería;Guardabarros o protector de cadena;pieza metálica negra con acabado pintado, forma alargada con doblez en un extremo, incluye dos tornillos y dos tarugos para fijación;Motos utilitarias y deportivas de tamaño pequeño a mediano, compatible con modelos que requieran soporte para guardabarros o protector de cadena;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y deportivas pequeñas y medianas', 'cilindraje': '100-250', 'posicion': 'Trasero', 'lado': 'N/A'}];Este soporte se usa para fijar y sostener el guardabarros trasero o el protector de cadena, evitando que se mueva o dañe otras partes de la moto.;Soporte metálico para guardabarros trasero moto;Soporte, guardabarros, protector de cadena, moto, metálico, tornillos, carrocería;Se observa texto en relieve en la parte central del soporte, posiblemente marca o código, no legible claramente en la imagen.;False
-15.jpg;True;repuesto_moto;0.85;Terminal eléctrico tipo faston;Conector eléctrico;Eléctrico;Conexión eléctrica;Metal dorado, forma plana con lengüeta para crimpado, orificio para tornillo o fijación, acabado metálico brillante;Motos y motocargueros con conexiones eléctricas estándar para cables de batería o sistemas eléctricos;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y motocargueros', 'cilindraje': '100-250', 'posicion': 'N/A', 'lado': 'N/A'}];Permite la conexión segura y desmontable de cables eléctricos en el sistema eléctrico de la moto o motocarguero, facilitando la transmisión de corriente.;Terminal eléctrico faston para moto;Conector eléctrico, Terminal faston, Repuesto eléctrico, Moto, Motocarguero, Conexión cable;No se observan textos grabados visibles en la imagen.;False
-150.jpg;True;repuesto_moto;0.75;Placa soporte o base para componente;Soporte;Carrocería;Soporte accesorio o placa base;Placa metálica negra, con un orificio grande circular y un recorte rectangular, acabado mate;Probablemente compatible con motos utilitarias o estándar que requieran soporte para componentes pequeños;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias estándar', 'cilindraje': '100-150', 'posicion': 'N/A', 'lado': 'N/A'}];Sirve como base o soporte para montar o fijar algún componente o accesorio en la estructura de la moto;Placa soporte metálica para accesorio moto 100-150cc;Soporte, Placa metálica, Accesorio moto, Base montaje, Moto 100cc, Moto 150cc;No se observan textos grabados visibles en la pieza;False
-169.jpg;True;repuesto_moto;0.85;Unidad de encendido CDI;CDI;Eléctrico;Encendido;Caja plástica rectangular, etiqueta con código JH125, conectores eléctricos visibles en un extremo;Motos utilitarias 125cc con sistema de encendido CDI;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias 125cc', 'cilindraje': '125', 'posicion': 'N/A', 'lado': 'N/A'}];Controla el encendido del motor regulando la chispa en la bujía para que el motor funcione correctamente.;CDI para moto 125cc utilitaria;CDI, Encendido, Electrónico, Moto 125cc, Repuesto eléctrico, Unidad de encendido;Etiqueta con texto 'JH125' y 'FEICHI', indica modelo y fabricante del CDI, no usado en nombre comercial;False
-174.jpg;True;repuesto_moto;0.85;Conector de manguera de freno hidráulico triple;Conector hidráulico;Frenos;Distribuidor de freno hidráulico;Cuerpo metálico con acabado plateado, tres salidas con conectores tipo rosca y sellos internos visibles, diseño compacto para distribución de fluido hidráulico;Motos y motocargueros con sistema de freno hidráulico que requieren distribución a tres líneas;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y motocargueros', 'cilindraje': '100-200', 'posicion': 'N/A', 'lado': 'N/A'}];Distribuye el fluido hidráulico de freno desde una línea principal a tres líneas secundarias para accionar frenos en diferentes ruedas o puntos.;Conector triple freno hidráulico moto;Frenos, Conector hidráulico, Distribuidor freno, Moto utilitaria, Motocarguero, Triple salida;No se observan textos grabados visibles en las partes metálicas que permitan identificación directa.;False
-179.jpg;True;repuesto_moto;0.75;Protector o cubre calzado para motociclista;Accesorio de protección;Accesorios;Protección personal;Material plástico rígido o semirrígido con textura antideslizante, color gris, con correas ajustables de velcro para fijación sobre calzado;Compatible con calzado de motociclistas para protección adicional en uso urbano o de trabajo;[{'marca': 'GENERICA', 'modelo': 'Calzado para motociclistas o uso general', 'cilindraje': 'N/A', 'posicion': 'N/A', 'lado': 'Ambos'}];Protege la parte superior del calzado del motociclista contra impactos, suciedad o desgaste durante la conducción o trabajo;Protector plástico para calzado de moto;Protector calzado, Accesorio moto, Protección personal, Cubierta zapato, Motociclista;No se observan textos grabados visibles en la pieza;False
-192.jpg;True;repuesto_moto;0.85;Interruptor de luz trasera o luz de freno;Interruptor;Eléctrico;Sistema de luces;Cuerpo plástico negro con botón o lente rojo rectangular, diseño compacto, con posible conector eléctrico en la parte trasera (no visible);Motos utilitarias y motocicletas estándar con sistema eléctrico de luces traseras;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias estándar', 'cilindraje': '100-150', 'posicion': 'Trasero', 'lado': 'N/A'}];Este interruptor activa la luz trasera o la luz de freno cuando se acciona el freno, mejorando la seguridad al indicar a otros conductores que la moto está frenando.;Interruptor luz freno trasero moto;Interruptor, Luz freno, Luz trasera, Eléctrico, Moto utilitaria, Seguridad vial;No se observan textos grabados visibles en la imagen.;False
-2 (2).jpg;True;repuesto_moto;0.85;Válvula de admisión o escape para motor de motocicleta;Válvula de motor;Motor;Sistema de válvulas;Dos piezas metálicas cilíndricas con cabeza plana y tallo, acabado metálico pulido, sin resortes ni conectores visibles;Motocicletas con motores de 4 tiempos, probablemente utilitarias o estándar de 100-150cc;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias 100-150cc', 'cilindraje': '100-150', 'posicion': 'N/A', 'lado': 'N/A'}];Permite la entrada de mezcla aire-combustible o la salida de gases quemados en el motor, abriéndose y cerrándose en sincronía con el ciclo del motor para mantener la combustión eficiente.;Juego válvulas motor moto 100-150cc;Motor, Válvula, Válvula de admisión, Válvula de escape, Repuesto moto, 100cc, 125cc, 150cc;Se observan grabados en metal que parecen números o códigos, posiblemente referencias internas, no se usan para nombre comercial.;False
-2.jpg;True;repuesto_moto;0.85;Tapa de válvula para motor de motocicleta;Tapa de válvula;Motor;Culata;Plástico o goma, forma circular, color rojo, con grabados o símbolos en la parte superior, múltiples unidades en blister;Motos utilitarias y deportivas de baja a media cilindrada con tapa de válvula estándar;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y deportivas', 'cilindraje': '100-250', 'posicion': 'N/A', 'lado': 'N/A'}];Protege la válvula del motor evitando la entrada de polvo y suciedad, además de ayudar a mantener la presión interna adecuada.;Tapa de válvula roja para moto 100-250cc;Motor, Tapa de válvula, Protección motor, Moto utilitaria, 100cc, 125cc, 150cc, 250cc;Se observan símbolos o números en la parte superior de cada tapa, posiblemente códigos de fabricación o modelo, no se usan para nombre comercial.;False
-215.jpg;True;repuesto_moto;0.85;Protector de rodilla para motociclista;Protección corporal;Accesorios;Protección personal;Cubierta rígida metálica frontal con perforaciones, base de material textil acolchonado negro, correas ajustables con velcro, diseño ergonómico para rodilla y espinilla;Accesorio universal para motociclistas, compatible con la mayoría de motos y motocargueros para protección de rodillas;[{'marca': 'GENERICA', 'modelo': 'Universal para motociclistas', 'cilindraje': 'N/A', 'posicion': 'Ambos', 'lado': 'Ambos'}];Protege las rodillas y espinillas del motociclista contra impactos y abrasiones en caso de caídas o accidentes.;Protector de rodilla para moto;Protección, Rodillera, Accesorio moto, Seguridad motociclista, Protector espinilla;Se observan textos en las etiquetas como 'PRO-BIKER' y diseño gráfico en la bolsa de transporte, no se usan para nombre comercial.;False
-217.jpg;True;repuesto_moto;0.8;Juego de bandas elásticas para sujeción;Bandas elásticas;Accesorios;Sujeción y carga;Bandas elásticas de colores variados (azul, verde, rojo, marrón), con ganchos plásticos en los extremos, múltiples unidades en conjunto;Motos y motocargueros para sujetar carga o equipaje en parrillas traseras o laterales;[{'marca': 'GENERICA', 'modelo': 'Motos y motocargueros utilitarios', 'cilindraje': '100-250', 'posicion': 'Trasero', 'lado': 'N/A'}];Estas bandas elásticas se usan para sujetar y asegurar carga o equipaje en la moto o motocarguero, evitando que se caiga durante el traslado.;Juego bandas elásticas con ganchos para moto;Bandas elásticas, Sujeción carga, Moto utilitaria, Accesorios moto, Ganchos plásticos, Parrilla moto;No se observan textos grabados visibles en la imagen.;False
