Filename_Original;Es_Moto_o_Motocarguero;Tipo_Contenido;Confianza_Global;Identificacion_Repuesto;Componente_Taxonomia;Sistema;SubSistema;Caracteristicas_Observadas;Compatibilidad_Probable_Texto;Compatibilidad_Probable_JSON;Funcion;Nombre_Comercial_Catalogo;Tags_Sugeridos;Notas_Sobre_Textos_Grabados;Necesita_Modelo_Grande
-102.jpg;False;producto_limpieza;0.95;No aplica;No aplica;No aplica;No aplica;Botella de shampoo auto brillante;No aplica;[];Limpia, brilla, protege y desengrasa vehículos;No aplica;limpieza, auto, shampoo;LIMPIA, BRILLA, PROTEGE, DESENGRASA;False
-104.jpg;False;repuesto_moto;0.1;No corresponde a un repuesto de moto;N/A;N/A;N/A;Máquina selladora de bolsas;N/A;[];Sellado de bolsas;No corresponde a un repuesto de moto;selladora, máquina de empaquetado;N/A;False
-11 (2).jpg;True;repuesto_moto;0.95;Extractor de volante magnético;Herramienta;Motor;Encendido;Herramienta metálica en forma de tubo con rosca externa e interna;Motos con sistema de encendido magnético;[];Se utiliza para desmontar el volante magnético sin dañar los componentes;Extractor de volante magnético;extractor, volante magnético, herramienta;Codigos visibles;False
-11 (3).jpg;True;repuesto_moto;0.95;Extractor de rodamientos;Herramienta de mantenimiento;Sistema de transmisión;Rodamientos;Herramienta metálica con componentes ajustables;Cualquier moto con rodamientos estándar;[];Sirve para remover o instalar rodamientos en ejes;Extractor de rodamientos;extractor, rodamientos, herramienta;N/A;False
-11 (4).jpg;False;repuesto_moto;0.95;Llave de impacto neumática;Herramienta;Mantenimiento;Herramientas de taller;Estuche azul con herramienta neumática;Usada para mantenimiento en general;[];Ajustar y aflojar tornillos y tuercas;Llave de impacto neumática;herramienta, neumática, mantenimiento;No se observan códigos visibles;False
-11 (5).jpg;False;herramienta_taller;0.95;Desmontadora de neumáticos;Herramienta de taller;Ruedas;Montaje y desmontaje de neumáticos;Estructura metálica con base, brazo ajustable y soporte central;Neumáticos de moto diversas;[];Para desmontar y montar neumáticos en las llantas;Desmontadora de neumáticos;herramienta, neumáticos, taller;No se observan códigos visibles;False
-11.jpg;True;repuesto_moto;0.9;-11;-11;General;;;;[];;-11;;;False
-113.jpg;False;repuesto_moto;0.95;Limpiador de contactos electrónicos;Limpiador;Eléctrico;Contactos eléctricos;Spray limpiador con etiqueta naranja y texto blanco;Cualquier vehículo con componentes eléctricos;[];Limpia y protege contactos eléctricos;Limpiador de contactos electrónicos;limpiador, contactos, limpieza eléctrica;PYSTA, LIPO LADCA;False
-116.jpg;False;repuesto_moto;0.95;Luz LED de ambiente para vehículo;Luces;Iluminación;Decorativo;Luces LED multicolor con control remoto;Vehículos con luz LED compatible;[];Proporcionar iluminación decorativa o ambiental;Luz LED de ambiente para vehículo;LED, luces ambiente, multicolor;No se observan códigos;False
-117.jpg;True;repuesto_moto;0.95;Filtro de aceite;Filtro;Motor;Lubricación;Cilíndrico, color negro;Modelos de moto con motores de 4 tiempos;[];Filtrar impurezas del aceite del motor;Filtro de aceite;filtro, aceite, motor, lubricación;12V;False
-12 (2).jpg;True;repuesto_moto;0.95;Extractor de rotor;Herramienta;Motor;Encendido;Herramienta cilíndrica con mango giratorio;Motos con encendido tipo rotor;[];Para extraer el rotor del encendido;Extractor de rotor;extractor, rotor, herramienta;N/A;False
-12 (3).jpg;False;repuesto_moto;0.95;Extractor de rodamientos;Herramienta;General;Mantenimiento;Conjunto de herramientas con barras, roscas y soportes para extracción;Usado para mantenimiento de diversas motos;[];Remover rodamientos o engranajes de manera segura;Extractor de rodamientos;extractor, herramienta, mantenimiento;N/A;False
-12.jpg;False;repuesto_moto;0.95;Cambio de neumáticos;Máquina de cambio de neumáticos;Taller;Equipamiento de mantenimiento;Máquina para cambiar neumáticos con base robusta y brazo neumático;Talleres de motos y vehículos;[];Para desmontar y montar neumáticos;Cambio de neumáticos;cambio de neumáticos, taller mecánico, equipo de servicio;Tyre changer 14011;False
-121.jpg;True;repuesto_moto;0.95;Bombilla LED T10;Iluminación;Eléctrico;Iluminación;Bombilla LED blanca con dos diodos emisores visibles;Motos compatibles con bombillas T10;[];Proporciona iluminación;Bombilla LED T10;LED, iluminación, bombilla T10;Ningún código visible;False
-123.jpg;False;desconocido;0.0;No aplica;No aplica;No aplica;No aplica;No relevante;No aplica;[];No aplica;No aplica;no_relevante;No aplica;False
-13 (2).jpg;True;repuesto_moto;0.95;Llave de válvulas;Herramienta;Motor;Mantenimiento;Llave delgada con un extremo en forma de anillo;Modelos estándar de motocicletas;[];Ajustar o aflojar válvulas;Llave de válvulas;llave, herramienta, válvulas;N/A;False
-13 (3).jpg;False;repuesto_moto;0.75;Kit de reparación de roscas;Herramientas;No aplica;No aplica;Conjunto de herramientas con brocas y extractores;Herramienta general;[];Reparar roscas dañadas en partes del motor o chasis;Kit de reparación de roscas;herramientas, reparación, roscas;No se observan códigos visibles;False
-13 (4).jpg;False;herramienta;0.95;Destornillador de impact;Herramienta;General;No aplica;Destornillador de impacto con mango transparente y barra larga;Herramienta universal;[];Para aflojar o apretar tornillos mediante impactos;Destornillador de impact;herramienta, destornillador, impacto;No aplicable;False
-13.jpg;True;repuesto_moto;0.95;Controlador de Tiras LED;Sistema Eléctrico;Eléctrico;Iluminación;Controlador pequeño con botones y cables rojo y negro;Modelos de moto que usan tiras LED;[];Controlar la iluminación LED;Controlador de Tiras LED;controlador_LED, iluminación_moto;INDICADOR, MODE, SPEED, COLOR;False
-130.jpg;False;equipo_proteccion;0.95;Rodilleras protectoras;Protección personal;Equipamiento de seguridad;Protección para el piloto;Rodilleras negras con perforaciones y correa ajustable;Motos de todas las marcas;[];Protege las rodillas del piloto durante caídas o impactos;Rodilleras protectoras;protección, rodilleras, seguridad;Viper, Standard;False
-133.jpg;False;herramienta_taller;0.95;Carro de herramientas;Herramientas;Taller;Almacenamiento;Carro de herramientas de metal con cajones;N/A;[];Almacenar herramientas;Carro de herramientas;carro, herramientas, taller;Logos visibles;False
-139.jpg;False;otros;0.95;No aplica;Ambientador;No aplica;No aplica;Frascos de spray de ambientadores de diferentes colores;No aplica;[];Ambientador para vehículos o espacios cerrados;No aplica;ambientador, spray, fragancia;PYSTA, AMBIENTE, INSPIRADA;False
-14 (2).jpg;True;repuesto_moto;0.9;-14 (2);-14;General;;;;[];;-14 (2);;;False
-14.jpg;True;repuesto_moto;0.9;-14;-14;General;;;;[];;-14;;;False
-15 (2).jpg;True;repuesto_moto;0.9;-15 (2);-15;General;;;;[];;-15 (2);;;False
-15 (3).jpg;False;repuesto_moto;0.95;Extractor de tornillos;Herramienta;General;Mantenimiento;Conjunto de extractores helicoidales en caja amarilla;General para mantenimientos en motocicletas;[];Retirar tornillos rotos o dañados;Extractor de tornillos;extractor, herramienta, tornillos;Sin códigos visibles;False
-15 (4).jpg;False;herramienta;0.95;Taladro inalámbrico;Herramienta Eléctrica;No aplica;No aplica;Maletín con taladro amarillo y accesorios;No aplica;[];Perforar y atornillar;Taladro inalámbrico;taladro, herramienta eléctrica;No aplica;False
-15.jpg;True;repuesto_moto;0.95;Terminal de conexión eléctrica;Conector eléctrico;Sistema eléctrico;Cableado;Terminal de conexión a presión de metal dorado;Universal para cableado eléctrico de motocicletas;[];Proporciona conexión eléctrica segura;Terminal de conexión eléctrica;terminal, conector, eléctrico;No se observan códigos visibles;False
-150.jpg;True;repuesto_moto;0.95;Porta documentos;Soporte;Accesorios;Documentación;Soporte plano con espacio rectangular y anillo para fijación;Moto universal;[];Sujetar documentos o placas identificativas;Porta documentos;porta documentos, accesorio, soporte;No hay códigos visibles;False
-151.jpg;False;repuesto_moto;0.95;Lava Parabrisas Concentrado;Limpieza;Automotriz;Limpieza de Parabrisas;Botella de líquido concentrado para limpiar;Automóviles con parabrisas;[];Limpia y desengrasa parabrisas;Lava Parabrisas Concentrado;limpieza, parabrisas, automotriz;Evita formación de hongos, limpia conducto, desengrasa;False
-156.jpg;False;repuesto_moto;0.95;Guantes de motocicleta;Guantes;Protección;Manos;Guantes con protecciones rígidas en los nudillos y colores variados.;Universal para motociclistas;[];Proteger las manos durante la conducción;Guantes de motocicleta;guantes, protección, motocicleta;SUOMY;False
-16 (2).jpg;False;herramienta;0.95;Martillo de goma;Herramienta de golpeo;No aplica;No aplica;Cabeza de goma negra, mango de goma con zona verde;Aplicable en talleres de motos para ajustes;[];Sirve para golpear sin dañar superficies;Martillo de goma;martillo, herramienta, goma;No se observan códigos visibles;False
-16.jpg;False;repuesto_moto;0.95;Pinza de corte diagonal;Herramienta;N/A;N/A;Pinza de acero con mangos recubiertos de goma para corte;N/A;[];Utilizada para cortar cables o alambres;Pinza de corte diagonal;herramientas, pinza, corte;Material: 65# carbon steel, double color hard handles, Leader in Hardware Tools;False
-169.jpg;True;repuesto_moto;0.95;Unidad CDI;Sistema eléctrico;Encendido;Control de chispa;Caja rectangular con etiqueta de colores azul y amarillo, código JH125 visible;Motos de 125cc compatibles;[];Controla el encendido y la chispa del motor;Unidad CDI;CDI, unidad de control, encendido, repuesto electrico;JH125, FEI CHI;False
-17 (2).jpg;False;herramienta_manual;0.95;Sierra manual;Sierra;Herramienta de corte;Manual;Sierra de marco azul con mango de plástico y cuchilla metálica;N/A;[];Corte de metal o madera;Sierra manual;sierra, herramienta, corte;"RADAR RJ4784, 300 mm 12"", 45°/90°";False
-17.jpg;False;repuesto_moto;0.95;Banco de prueba para inyectores;Sistema de inyección;Inyección de combustible;Inyectores;Equipo con tubos de vidrio para medición y pantalla de control;Universal para inyectores de motos;[];Probar y verificar el rendimiento de inyectores de combustible;Banco de prueba para inyectores;inyectores, banco de prueba, sistema de inyección;N/A;False
-174.jpg;True;repuesto_moto;0.95;Conector de acoplador rápido;Conector;Sistema de combustible;Conexiones de combustible;Conector en Y con extremos de acople rápido en metal;Sistemas de combustible de motos con requisitos de conexiones rápidas;[];Permite la conexión y desconexión rápida de líneas de combustible;Conector de acoplador rápido;conector, acoplador rápido, combustible;No se observan códigos visibles;False
-176.jpg;False;herramienta;0.95;Gato hidráulico de piso;Herramienta;Mantenimiento;Levantamiento de vehículos;Gato hidráulico de piso con base ancha;Vehículos de dos ruedas;[];Elevar vehículos para realizar mantenimiento;Gato hidráulico de piso;gato, hidráulico, herramienta, mantenimiento;No aplicable;False
-178.jpg;False;repuesto_moto;0.95;Cuerda elástica con ganchos;Accesorio;Carga;Amarre;Cuerda elástica de color azul y negro con dos ganchos negros;Universal para diferentes motocicletas;[];Amarrar o asegurar carga;Cuerda elástica con ganchos;cuerda elástica, amarres, ganchos;Ninguno visible;False
-179.jpg;False;repuesto_moto;0.2;Protector de calzado;Accesorio de protección;Vestimenta de conducción;Calzado;Protector gris con textura para la zona del pie;Utilizable en cualquier calzado para motociclistas;[];Protege el calzado del desgaste al cambiar de marcha;Protector de calzado;protector, calzado, motocicleta;No aplicable;False
-18 (2).jpg;False;repuesto_moto;0.95;Destornillador de impacto;Herramienta;Herramientas de taller;Mantenimiento;Juego de destornillador de impacto con cabezas intercambiables;Utilizada en mantenimiento general, no específica para un modelo;[];Aflojar tornillos difíciles mediante impacto;Destornillador de impacto;destornillador, herramienta, impacto;Varios grabados visibles pero no legibles;False
-18.jpg;False;repuesto_moto;0.95;Juego de llaves de vaso con carraca;Herramientas;General;Mantenimiento;Caja metálica con juego de llaves de vaso y carraca;Usado para diversas motos;[];Ajustar y liberar tornillos y tuercas;Juego de llaves de vaso con carraca;herramientas, mantenimiento, llaves de vaso;Ninguno visible;False
-182.jpg;True;repuesto_moto;0.9;-182;-182;General;;;;[];;-182;;;False
-185.jpg;False;herramienta;0.95;Prensa hidráulica de taller;Prensa;Herramientas de taller;Prensado;Prensa con base ajustable y palanca manual, color rojo, con cable eléctrico.;Herramienta de taller general;[];Aplicar presión para ensamblar o desmontar componentes;Prensa hidráulica de taller;prensa, herramienta_taller;No se distinguen códigos visibles;False
-188.jpg;False;repuesto_moto;0.5;Cable elástico con ganchos;Accesorio de sujeción;Carga;Transporte;Cable elástico con ganchos de plástico;Cualquier moto con posibilidad de carga;[];Sujeción de carga;Cable elástico con ganchos;carga, sujeción, transporte;No se observan códigos visibles;False
-19 (2).jpg;False;herramienta;0.95;Alicates para anillos de seguridad;Herramienta de sujeción;Mantenimiento;Herramientas de taller;Alicates con puntas delgadas y mangos amarillos;N/A;[];Instalar o remover anillos de seguridad;Alicates para anillos de seguridad;alicates, herramienta, anillos de seguridad;Quality Guaranteed;False
-19 (3).jpg;True;repuesto_moto;0.9;-19 (3);-19;General;;;;[];;-19 (3);;;False
-19.jpg;False;repuesto_moto;0.5;Juego de herramientas de carraca;Herramienta manual;General;N/A;Maletín con juego de dados y llaves;Cualquier motocicleta;[];Utilizado para trabajos de mantenimiento y reparación;Juego de herramientas de carraca;herramientas, set de dados, bricolaje;108 PCS, CR-V;False
-192.jpg;True;repuesto_moto;0.95;Interruptor de encendido;Interruptor;Electrónico;Encendido;Interruptor de palanca con carcasa plástica negra y botón rojo;Modelos genéricos de motocicletas;[];Permite encender o apagar un circuito eléctrico;Interruptor de encendido;interruptor, encendido, eléctrico;Ninguno visible;False
-2 (2).jpg;True;repuesto_moto;0.95;Cachimbo de bujía;Conector de Encendido;Sistema de Encendido;Conexión de Bujía;Cilíndrico, metálico, superficie pulida;Motos con sistema de encendido estándar;[];Conectar la bujía al cable de encendido;Cachimbo de bujía;cachimbo, conector, encendido;Ninguno visible;False
-2 (3).jpg;False;herramienta;0.95;Llave combinada;Herramienta manual;General;Mantenimiento;Juego de llaves combinadas con extremos abiertos y cerrados;Compatible con diversas motos;[];Para aflojar o apretar tuercas y pernos;Llave combinada;herramienta, llave combinada;Ninguna visible;False
-2 (4).jpg;False;repuesto_moto;0.95;Juego de destornilladores y puntas;Herramienta;General;Mantenimiento;Estuche con destornilladores y múltiples puntas intercambiables;Herramienta universal para mantenimiento de motos;[];Usado para aflojar y apretar tornillos;Juego de destornilladores y puntas;herramienta, mantenimiento, destornillador;No hay códigos visibles;False
-2 (5).jpg;False;equipo_taller;0.95;Desmontador de neumáticos;Equipo de taller;Mantenimiento;Ruedas;Máquina de montaje y desmontaje de neumáticos con brazo ajustable y platos de anclaje.;N/A;[];Facilitar el montaje y desmontaje de neumáticos en ruedas de motocicletas.;Desmontador de neumáticos;desmontadora, neumáticos, taller, ruedas;STRONGEST TH-2000;False
-2 (6).jpg;False;producto_de_limpieza;0.95;Limpiador de superficies;Producto de limpieza;Mantenimiento;Limpieza;Botella de spray con etiqueta roja y blanca;No aplica;[];Limpieza de superficies;Limpiador de superficies;limpieza, spray, mantenimiento;Marcas y etiquetas visibles;False
-2 (7).jpg;False;repuesto_moto;0.95;Juego de llaves y dados;Herramientas;Universal;Mantenimiento;Set de llaves combinadas y dados con trinquete, estuche de plástico;Compatible con múltiples modelos para mantenimiento general;[];Usado para apretar y aflojar tornillos;Juego de llaves y dados;herramientas, llaves, mantenimiento;No se observan códigos;False
-2.jpg;True;repuesto_moto;0.9;-2;-2;General;;;;[];;-2;;;False
-20 (2).jpg;True;repuesto_moto;0.9;-20 (2);-20;General;;;;[];;-20 (2);;;False
-20.jpg;True;repuesto_moto;0.9;-20;-20;General;;;;[];;-20;;;False
-203.jpg;False;repuesto_moto;0.0;No aplica;Caja de herramientas;No aplica;No aplica;Caja de herramientas roja con cajones;No aplica;[];Almacenar herramientas;No aplica;herramientas, almacenamiento, taller;No aplica;False
-21 (2).jpg;False;repuesto_moto;0.95;Pistola de aire;Herramienta;Mantenimiento;Limpieza;Pistola metálica de aire con boquilla y gatillo;Herramienta de taller para mantenimiento general;[];Se utiliza para limpiar piezas con aire comprimido;Pistola de aire;pistola de aire, herramienta de limpieza;N/A;False
-21.jpg;False;repuesto_moto;0.95;Juego de machuelos y terrajas;Herramienta de roscado;No aplica;No aplica;Conjunto de herramientas de metal para hacer roscas internas y externas, contiene machuelos y terrajas;Herramienta universal para aplicaciones generales;[];Permite crear o reparar roscas internas y externas en tornillos y tuercas;Juego de machuelos y terrajas;herramienta, roscado, machuelo, terraja;M3-M12, W25;False
-215.jpg;False;equipo_proteccion;0.95;Protector de rodillas;Equipo de protección personal;Equipamiento;Protección corporal;Protectores de rodillas con carcasa de metal y correas ajustables;Motociclistas en general;[];Protección de las rodillas en caso de caídas;Protector de rodillas;protección, rodillas, motocicleta;Pro-Biker visible;False
-217.jpg;True;repuesto_moto;0.9;-217;-217;General;;;;[];;-217;;;False
-22 (2).jpg;False;herramienta_taller;0.95;Prensa de taller;Herramienta;Taller;Equipamiento de taller;Prensa hidráulica de color rojo con controles y cable eléctrico;No aplica;[];Utilizada para prensar componentes en talleres de reparación;Prensa de taller;prensa, herramienta, taller;No se observan;False
-22.jpg;True;repuesto_moto;0.9;-22;-22;General;;;;[];;-22;;;False
-221.jpg;False;herramienta;0.95;Cinta métrica;Herramienta de medición;No aplica;No aplica;Cuerpo negro con detalles azules, cinta de medidas extensible;No aplica;[];Medir longitudes;Cinta métrica;herramienta, medición;RADAR 5m x 25mm;False
-225.jpg;False;no_repuesto;0.95;Cinta adhesiva;N/A;N/A;N/A;Cinta adhesiva marrón, aspecto genérico;N/A;[];Para unir o sellar superficies;Cinta adhesiva;cinta, adhesivo;No hay códigos visibles;False
-227.jpg;False;repuesto_moto;0.95;Compresor de aire;Compresor;Herramientas de taller;Taller;Cilindro rojo grande con motor y manómetro en la parte superior;No aplica;[];Generar aire comprimido para diversas aplicaciones;Compresor de aire;compresor, aire, taller;STRONGEST;False
-228.jpg;True;repuesto_moto;0.9;-228;-228;General;;;;[];;-228;;;False
-23 (2).jpg;True;repuesto_moto;0.9;-23 (2);-23;General;;;;[];;-23 (2);;;False
-23.jpg;False;repuesto_moto;0.95;Llave de tubo;Herramienta;General;Mantenimiento;Herramientas en forma de L, metálicas;N/A;[];Usada para apretar o aflojar tuercas y pernos;Llave de tubo;herramienta, llave de tubo;Ninguno visible;False
-233.jpg;False;repuesto_moto;0.5;No aplicable;No aplicable;No aplicable;No aplicable;Tanque transparente con marcadores medidores;No aplicable;[];No aplicable;No aplicable;tanque, medidor;Etiquetas visibles con instrucciones;False
-236.jpg;False;no_repuesto_moto;0.95;N/A;N/A;N/A;N/A;Imagen de un zapato. No es un repuesto de moto.;N/A;[];N/A;N/A;calzado, zapato;N/A;False
-238.jpg;True;repuesto_moto;0.95;Relé intermitente;Relé;Sistema eléctrico;Iluminación;Cajas de plástico translúcidas en colores azul, verde y rojo;Sugerido para motocicletas genéricas;[];Regula la intermitencia de las luces de señalización;Relé intermitente;relé, intermitente, luces;motorbikemx es visible;False
-24.jpg;False;herramienta;0.95;Juego de llaves combinadas;Llave fija;Herramientas;Llaves;Juego de llaves combinadas de diferentes tamaños hechas de cromo vanadio;No aplica;[];Ajustar tuercas y tornillos;Juego de llaves combinadas;llave, herramienta, mecánica;CHROME VANADIUM, medidas;False
