codigo;descripcion;color;empaque;imagen;linea
CAUCHO;"\""codigo\"": \""02311\"",\n \""descripcion\"": \""MANILAR PROTAPER";;;;103
COLORS;"\""02311\"",\n \""descripcion\"": \""MANILAR PROTAPER CAUCHO";;;;103
LILA;"\""descripcion\"": \""MANILAR PROTAPER CAUCHO COLORS";;;;103
2311;"\""MANILAR PROTAPER CAUCHO COLORS LILA";;;;103
AZUL;PROTAPER CAUCHO COLORS LILA 02311;;;;103
2312;CAUCHO COLORS LILA 02311 AZUL;azul;;;103
BLANCO;COLORS LILA 02311 AZUL 02312;azul;;;103
2313;LILA 02311 AZUL 02312 BLANCO;azul;;;103
VERDE;02311 AZUL 02312 BLANCO 02313;azul;;;103
2314;AZUL 02312 BLANCO 02313 VERDE;azul;;;103
NARANJA;02312 BLANCO 02313 VERDE 02314;blanco;;;103
2496;BLANCO 02313 VERDE 02314 NARANJA;blanco;;;103
ROJO;02313 VERDE 02314 NARANJA 02496;verde;;;103
MANILAR;"{\n \""codigo\"": \""03019\"",\n \""descripcion\"": \""MOXI";;;;103
ESTRIADO;"\""codigo\"": \""03019\"",\n \""descripcion\"": \""MOXI MANILAR";;;;103
NARANJA;"\""03019\"",\n \""descripcion\"": \""MOXI MANILAR ESTRIADO";;;;103
3019;"\""descripcion\"": \""MOXI MANILAR ESTRIADO NARANJA";naranja;;;103
AZUL;"\""MOXI MANILAR ESTRIADO NARANJA 03019";naranja;;;103
MANILAR;"{\n \""codigo\"": \""02495\"",\n \""descripcion\"": \""MOXI";;;;103
TOPE;"\""codigo\"": \""02495\"",\n \""descripcion\"": \""MOXI MANILAR";;;;103
SMALL;"\""02495\"",\n \""descripcion\"": \""MOXI MANILAR TOPE";;;;103
ROJO;"\""descripcion\"": \""MOXI MANILAR TOPE SMALL";;;;103
2495;"\""MOXI MANILAR TOPE SMALL ROJO";rojo;;;103
AZUL;MANILAR TOPE SMALL ROJO 02495;rojo;;;103
2374;TOPE SMALL ROJO 02495 AZUL;rojo;;;103
PLATA;SMALL ROJO 02495 AZUL 02374;rojo;;;103
2376;ROJO 02495 AZUL 02374 PLATA;rojo;;;103
NARANJA;02495 AZUL 02374 PLATA 02376;azul;;;103
DOMINO;"{\n \""codigo\"": \""02599\"",\n \""descripcion\"": \""MANILAR";;;;103
DOMINO;"""```json\n{\n \""codigo\"": \""02599\"",\n \""descripcion\"": \""MANILAR";;;;91
GASOLINA;"{\n \""codigo\"": \""03107\"",\n \""descripcion\"": \""TAPA";;;;147
GASOLINA;"{\n \""codigo\"": \""04300\"",\n \""descripcion\"": \""TAPA";;;;147
TAPA;"{\n \""codigo\"": \""01879\"",\n \""descripcion\"": \""TWPO";;;;155
SWITCH;"\""codigo\"": \""01879\"",\n \""descripcion\"": \""TWPO TAPA";;;;155
NARANJA;"\""TWPO TAPA SWITCH BWS-125 X";;;;155
1879;TAPA SWITCH BWS-125 X NARANJA;naranja;;;155
VERDE;SWITCH BWS-125 X NARANJA 01879;naranja;;;155
2183;BWS-125 X NARANJA 01879 VERDE;naranja;;;155
ROJA;X NARANJA 01879 VERDE 02183;naranja;;;155
SWITCH;"{\n \""codigo\"": \""04293\"",\n \""descripcion\"": \""TAPA";;;;155
ROJA;"\""descripcion\"": \""TAPA SWITCH BWS-125 FI";;;;155
3102;"\""TAPA SWITCH BWS-125 FI ROJA";;;;155
AZUL;SWITCH BWS-125 FI ROJA 03102;;;;155
3103;BWS-125 FI ROJA 03102 AZUL;azul;;;155
GRIS;FI ROJA 03102 AZUL 03103;azul;;;155
3105;ROJA 03102 AZUL 03103 GRIS;azul;;;155
NEGRA;03102 AZUL 03103 GRIS 03105;azul;;;155
GASOLINA;"""```json\n{\n \""codigo\"": \""04300\"",\n \""descripcion\"": \""TAPA";;;;135
NARANJA;"\""04300\"",\n \""descripcion\"": \""TAPA GASOLINA N-MAX";;;;147
4302;"\""descripcion\"": \""TAPA GASOLINA N-MAX NARANJA";naranja;;;135
DORADA;"\""TAPA GASOLINA N-MAX NARANJA 04302";naranja;;;135
DORADA;"\""descripcion\"": \""TAPA GASOLINA BWS-125 FI";;;;147
VERDE;"\""TAPA GASOLINA BWS-125 FI DORADA";;;;147
NARANJA;GASOLINA BWS-125 FI DORADA VERDE;verde;;;147
DISCO;"{\n \""codigo\"": \""02459\"",\n \""descripcion\"": \""RPM";;;;191
FRENO;"\""codigo\"": \""02459\"",\n \""descripcion\"": \""RPM DISCO";;;;191
260MM;"\""02459\"",\n \""descripcion\"": \""RPM DISCO FRENO";;;;191
NARANJA;"\""RPM DISCO FRENO 260MM BWS-125";;;;191
DISCO;"{\n \""codigo\"": \""02831\"",\n \""descripcion\"": \""RPM";;;;191
FRENO;"\""codigo\"": \""02831\"",\n \""descripcion\"": \""RPM DISCO";;;;191
260MM;"\""02831\"",\n \""descripcion\"": \""RPM DISCO FRENO";;;;191
BWS125;"\""descripcion\"": \""RPM DISCO FRENO 260MM";;;;191
MODEL2;"\""RPM DISCO FRENO 260MM BWS125";;;;191
NARANJA;DISCO FRENO 260MM BWS125 MODEL2;;;;191
DISCO;"{\n \""codigo\"": \""02834\"",\n \""descripcion\"": \""RPM";;;;191
FRENO;"\""codigo\"": \""02834\"",\n \""descripcion\"": \""RPM DISCO";;;;191
260MM;"\""02834\"",\n \""descripcion\"": \""RPM DISCO FRENO";;;;191
MODEL3;"\""RPM DISCO FRENO 260MM BWS-125";;;;191
AZUL;DISCO FRENO 260MM BWS-125 MODEL3;;;;191
2834;FRENO 260MM BWS-125 MODEL3 AZUL;azul;;;191
DORADO;260MM BWS-125 MODEL3 AZUL 02834;azul;;;191
2836;BWS-125 MODEL3 AZUL 02834 DORADO;azul;;;191
NARANJA;MODEL3 AZUL 02834 DORADO 02836;azul;;;191
FLANCHE;"{\n \""codigo\"": \""02466\"",\n \""descripcion\"": \""FRC";;;;191
DISCO;"\""codigo\"": \""02466\"",\n \""descripcion\"": \""FRC FLANCHE";;;;191
DISCO;"""```json\n{\n \""codigo\"": \""BWS-125\"",\n \""descripcion\"": \""RPM";;;;187
FRENO;"\""codigo\"": \""BWS-125\"",\n \""descripcion\"": \""RPM DISCO";;;;187
TAPA;"{\n \""codigo\"": \""01060\"",\n \""descripcion\"": \""TWPO";;;;243
AZUL;"\""01060\"",\n \""descripcion\"": \""TWPO TAPA VENTILADOR";;;;243
1061;"\""descripcion\"": \""TWPO TAPA VENTILADOR AZUL";azul;;;243
NARANJA;"\""TWPO TAPA VENTILADOR AZUL 01061";azul;;;243
TAPA;"{\n \""codigo\"": \""01353\"",\n \""descripcion\"": \""FRC";;;;243
ASPA;"\""01353\"",\n \""descripcion\"": \""FRC TAPA VENTILADOR";;;;243
SCOOTER;"\""descripcion\"": \""FRC TAPA VENTILADOR ASPA";;;;243
PATA;"{\n \""codigo\"": \""01869\"",\n \""descripcion\"": \""MOXI";;;;263
LATERAL;"\""codigo\"": \""01869\"",\n \""descripcion\"": \""MOXI PATA";;;;263
ALUMINIO;"\""01869\"",\n \""descripcion\"": \""MOXI PATA LATERAL";;;;263
NARANJA;"\""MOXI PATA LATERAL ALUMINIO BWS-125";;;;263
LATERAL;"{\n \""codigo\"": \""03660\"",\n \""descripcion\"": \""PATA";;;;263
KOSSO;"\""codigo\"": \""03660\"",\n \""descripcion\"": \""PATA LATERAL";;;;263
ROJO;"\""descripcion\"": \""PATA LATERAL KOSSO GRADUABLEUNIVERSAL";;;;263
3660;"\""PATA LATERAL KOSSO GRADUABLEUNIVERSAL ROJO";rojo;;;263
NEGRO;LATERAL KOSSO GRADUABLEUNIVERSAL ROJO 03660;rojo;;;263
4251;KOSSO GRADUABLEUNIVERSAL ROJO 03660 NEGRO;rojo;;;263
AZUL;GRADUABLEUNIVERSAL ROJO 03660 NEGRO 04251;rojo;;;263
4291;ROJO 03660 NEGRO 04251 AZUL;rojo;;;263
PLATA;03660 NEGRO 04251 AZUL 04291;negro;;;263
CAMBIO;"{\n \""codigo\"": \""02109\"",\n \""descripcion\"": \""PALANCA";;;;263
DOBLE;"\""codigo\"": \""02109\"",\n \""descripcion\"": \""PALANCA CAMBIO";;;;263
ESTRIA;"\""02109\"",\n \""descripcion\"": \""PALANCA CAMBIO DOBLE";;;;263
FINA;"\""descripcion\"": \""PALANCA CAMBIO DOBLE ESTRIA";;;;263
SUZUKI;"\""PALANCA CAMBIO DOBLE ESTRIA FINA";;;;263
ALUMINIO;DOBLE ESTRIA FINA SUZUKI AX/TS;;;;263
ROJA;ESTRIA FINA SUZUKI AX/TS ALUMINIO;;;;263
2109;FINA SUZUKI AX/TS ALUMINIO ROJA;;;;263
AZUL;SUZUKI AX/TS ALUMINIO ROJA 02109;;;;263
TAPA;"""```json\n{\n \""codigo\"": \""\"",\n \""descripcion\"": \""TWPO";;;;235
TAPA;"""```json\n{\n \""codigo\"": \""01060\"",\n \""descripcion\"": \""TWPO";;;;239
CAMBIO;"""```json\n{\n \""codigo\"": \""\"",\n \""descripcion\"": \""PALANCA";;;;251
DOBLE;"\""codigo\"": \""\"",\n \""descripcion\"": \""PALANCA CAMBIO";;;;251
ESTRIA;"\""\"",\n \""descripcion\"": \""PALANCA CAMBIO DOBLE";;;;251
ALUMINIO;"{\n \""codigo\"": \""01783\"",\n \""descripcion\"": \""CALAPIE";;;;279
1783;"\""descripcion\"": \""CALAPIE ALUMINIO UNIVERSAL NEGRO/PLATA";negro;;;279
1782;ALUMINIO UNIVERSAL NEGRO/PLATA 01783 NEGRO/AZUL;negro;;;279
4253;NEGRO/PLATA 01783 NEGRO/AZUL 01782 NEGRO/NARANJA;negro;;;279
1298;NEGRO/AZUL 01782 NEGRO/NARANJA 04253 NEGRO/ROJO;negro;;;279
ALUMINIO;"{\n \""codigo\"": \""01669\"",\n \""descripcion\"": \""CALAPIE";;;;279
POSH;"\""codigo\"": \""01669\"",\n \""descripcion\"": \""CALAPIE ALUMINIO";;;;279
ALUMINIO;"{\n \""codigo\"": \""02544\"",\n \""descripcion\"": \""CALAPIE";;;;279
ESTRIADO;"\""codigo\"": \""02544\"",\n \""descripcion\"": \""CALAPIE ALUMINIO";;;;279
DORADO;"\""02544\"",\n \""descripcion\"": \""CALAPIE ALUMINIO ESTRIADO";;;;279
2544;"\""descripcion\"": \""CALAPIE ALUMINIO ESTRIADO DORADO";dorado;;;279
PLATA;"\""CALAPIE ALUMINIO ESTRIADO DORADO 02544";dorado;;;279
TRASERO;"{\n \""codigo\"": \""03800\"",\n \""descripcion\"": \""CALAPIE";;;;279
CALAPIE;"{\n \""codigo\"": \""02029\"",\n \""descripcion\"": \""BASE";;;;335
TRASERO;"\""codigo\"": \""02029\"",\n \""descripcion\"": \""BASE CALAPIE";;;;335
CALAPIE;"{\n \""codigo\"": \""05003\"",\n \""descripcion\"": \""BASE";;;;335
TRASERO;"\""codigo\"": \""05003\"",\n \""descripcion\"": \""BASE CALAPIE";;;;335
CALAPIE;"{\n \""codigo\"": \""05509\"",\n \""descripcion\"": \""BASE";;;;335
TRASERO;"\""codigo\"": \""05509\"",\n \""descripcion\"": \""BASE CALAPIE";;;;335
AKT110;"\""05509\"",\n \""descripcion\"": \""BASE CALAPIE TRASERO";;;;335
SPECIAL;"\""descripcion\"": \""BASE CALAPIE TRASERO AKT110";;;;335
WAVE;"\""BASE CALAPIE TRASERO AKT110 SPECIAL";;;;335
CALAPIE;"{\n \""codigo\"": \""03323\"",\n \""descripcion\"": \""BASE";;;;335
PCS;"FLEX\"",\n \""precio\"": \""46500\"",\n \""empaque\"": \""X1";;;;335
CALAPIE;"""```json\n{\n \""codigo\"": \""TRASEROAKT110\"",\n \""descripcion\"": \""BASE";;;;319
SPECIAL;"\""codigo\"": \""TRASEROAKT110\"",\n \""descripcion\"": \""BASE CALAPIE";;;;319
WAVE;"\""TRASEROAKT110\"",\n \""descripcion\"": \""BASE CALAPIE SPECIAL";;;;319
CALAPIE;"""```json\n{\n \""codigo\"": \""03323\"",\n \""descripcion\"": \""BASE";;;;363
PCS;"FLEX\"",\n \""precio\"": \""\"",\n \""empaque\"": \""X1";;;;363
JSON;requeridos para completar la estructura;;;;375
SUOMY;"""```json\n{\n \""codigo\"": \""04311\"",\n \""descripcion\"": \""GUANTE";;;;399
TACTIL;"\""codigo\"": \""04311\"",\n \""descripcion\"": \""GUANTE SUOMY";;;;399
ROJO;"\""04311\"",\n \""descripcion\"": \""GUANTE SUOMY TACTIL";;;;379
TALLA;"\""descripcion\"": \""GUANTE SUOMY TACTIL ROJO";rojo;;;379
4311;SUOMY TACTIL ROJO TALLA M;rojo;;;379
TALLA;TACTIL ROJO TALLA M 04311;rojo;;;379
4312;TALLA M 04311 TALLA L;;;;379
TALLA;M 04311 TALLA L 04312;;;;379
4311;"""raw"": ""```json\n{\n  \""codigo\"": \""";;;;395
GUANTE;"\"",\n  \""descripcion\"": \""";;;;395
SUOMY;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [\n    \""guante_suomy_1.jpg\"",\n    \""guante_suomy_2.jpg\""\n  ],\n  \""variantes\"": [\n    \""";;;;395
4311;"\"",\n    \""";;;;395
L04312;"\"",\n    \""";;;;395
4313;"\"",\n    \""";;;;395
4470;"\"",\n    \""";;;;395
4308;"\"",\n    \""";;;;395
4309;"\""\n  ]\n}\n```""";;;;395
ARM;"""raw"": ""```json\n{\n  \""codigo\"": \""\"",\n  \""descripcion\"": \""";;;;13959
HIGH;PERFORMANCE;;;;13959
QUALITY;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [\""imagen1\""],\n  \""variantes\"": []\n}\n```""";;;;13059
CODERA;"\""03249\"",\n \""descripcion\"": \""KIT RODILLERA Y";;;;423
ACERO;"\""descripcion\"": \""KIT RODILLERA Y CODERA";;;;423
YCODERA;"\""codigo\"": \""03250\"",\n \""descripcion\"": \""KIT RODILLERA";;;;423
MARCA;"\""03250\"",\n \""descripcion\"": \""KIT RODILLERA YCODERA";;;;423
SCOYCO;"\""codigo\"": \""03293\"",\n \""descripcion\"": \""KIT RODILLERA";;;;423
PLACA;"{\n \""codigo\"": \""03662\"",\n \""descripcion\"": \""PORTA";;;;423
CNC;"\""codigo\"": \""03662\"",\n \""descripcion\"": \""PORTA PLACA";;;;423
CORTO;"\""codigo\"": \""04094\"",\n \""descripcion\"": \""LLAVERO IMPORTADO";;;;463
SURTIDOS;"\""descripcion\"": \""LLAVERO IMPORTADO CORTO DISEÑOS";;;;463
COLGAR;"\""codigo\"": \""04097\"",\n \""descripcion\"": \""LLAVERO DE";;;;463
LARGO;"\""descripcion\"": \""LLAVERO DE COLGAR IMPORTADO";;;;463
SURTIDOS;DE COLGAR IMPORTADO LARGO DISEÑOS;;;;463
CON;"{\n \""codigo\"": \""05375\"",\n \""descripcion\"": \""FUNDA";;;;463
MANILLA;"\""codigo\"": \""05375\"",\n \""descripcion\"": \""FUNDA CON";;;;463
LLAVE;"\""05375\"",\n \""descripcion\"": \""FUNDA CON MANILLA";;;;463
CONTROL;"\""descripcion\"": \""FUNDA CON MANILLA LLAVE";;;;463
LLAVE;"{\n \""codigo\"": \""05370\"",\n \""descripcion\"": \""FUNDA";;;;463
CONTROL;"\""codigo\"": \""05370\"",\n \""descripcion\"": \""FUNDA LLAVE";;;;463
TAPA;"{\n \""codigo\"": \""05002\"",\n \""descripcion\"": \""CAUCHO";;;;523
LATERAL;"\""codigo\"": \""05002\"",\n \""descripcion\"": \""CAUCHO TAPA";;;;523
TAPA;"{\n \""codigo\"": \""04936\"",\n \""descripcion\"": \""CAUCHO";;;;523
LATERAL;"\""codigo\"": \""04936\"",\n \""descripcion\"": \""CAUCHO TAPA";;;;523
GATO;"{\n \""codigo\"": \""03610\"",\n \""descripcion\"": \""TOPE";;;;559
SILLA;"\""03610\"",\n \""descripcion\"": \""TOPE GATO Y";;;;559
GATO;"{\n \""codigo\"": \""03611\"",\n \""descripcion\"": \""TOPE";;;;523
CONECTOR;"{\n \""codigo\"": \""04777\"",\n \""descripcion\"": \""EMPAQUE";;;;523
PIPETA;"\""codigo\"": \""04777\"",\n \""descripcion\"": \""EMPAQUE CONECTOR";;;;523
ACOPLE;"{\n \""codigo\"": \""04927\"",\n \""descripcion\"": \""CAUCHO";;;;523
TANQUE;"\""codigo\"": \""04927\"",\n \""descripcion\"": \""CAUCHO ACOPLE";;;;523
GASOLINA;"\""04927\"",\n \""descripcion\"": \""CAUCHO ACOPLE TANQUE";;;;523
CALIPER;"\""codigo\"": \""04348\"",\n \""descripcion\"": \""KIT ANTIVIBRANTE";;;;523
PZS;"\""descripcion\"": \""KIT ANTIVIBRANTE CALIPER X2";;;;523
EXOSTO;"\""codigo\"": \""03322\"",\n \""descripcion\"": \""CAUCHO PROTECTOR";;;;523
ALTO;"\""TOPE GATO Y SILLA UNIVERSAL";;;;523
3610;GATO Y SILLA UNIVERSAL ALTO;;;;523
BAJO;Y SILLA UNIVERSAL ALTO 03610;;;;523
AGILITY;"\""codigo\"": \""03611\"",\n \""descripcion\"": \""TOPE GATO";;;;523
ECO;"\""codigo\"": \""02874\"",\n \""descripcion\"": \""TAPON GUARDACADENA";;;;523
GATO;"{\n \""codigo\"": \""04890\"",\n \""descripcion\"": \""TOPE";;;;559
SILLA;"\""04890\"",\n \""descripcion\"": \""TOPE GATO Y";;;;559
GATO;"{\n \""codigo\"": \""\"",\n \""descripcion\"": \""TOPE";;;;559
AGILITY;"\""codigo\"": \""\"",\n \""descripcion\"": \""TOPE GATO";;;;559
CONECTOR;"{\n \""codigo\"": \""DTK-100/125/175\"",\n \""descripcion\"": \""EMPAQUE";;;;559
DOBLE;"{\n \""codigo\"": \""03269\"",\n \""descripcion\"": \""CAMARA";;;;587
CARBONO;"\""descripcion\"": \""CAMARA DOBLE AKRAPOVIC SALIDAPUNTA";;;;631
REF;"\""CAMARA DOBLE AKRAPOVIC SALIDAPUNTA CARBONO";;;;587
DOBLE;"{\n \""codigo\"": \""03300\"",\n \""descripcion\"": \""CAMARA";;;;587
SALIDA;"\""03300\"",\n \""descripcion\"": \""CAMARA DOBLE AKRAPOVIC";;;;587
PUNTA;"\""descripcion\"": \""CAMARA DOBLE AKRAPOVIC SALIDA";;;;587
CARBONO;"\""CAMARA DOBLE AKRAPOVIC SALIDA PUNTA";;;;587
REF;DOBLE AKRAPOVIC SALIDA PUNTA CARBONO;;;;587
PUNTA;"\""04478\"",\n \""descripcion\"": \""CAMARA AKRAPOVIC OCTAGONAL";;;;587
CARBONO;"\""descripcion\"": \""CAMARA AKRAPOVIC OCTAGONAL PUNTA";;;;587
ALTO;"\""CAMARA AKRAPOVIC OCTAGONAL PUNTA CARBONO";;;;587
50CM;PUNTA CARBONO ALTO CILINDRAJE H-06;;;;587
LARGO;CARBONO ALTO CILINDRAJE H-06 50CM;;;;587
ALUMINIO;"{\n \""codigo\"": \""04479\"",\n \""descripcion\"": \""CAMARA";;;;587
ALTO;"\""04479\"",\n \""descripcion\"": \""CAMARA ALUMINIO AKRAPOVIC";;;;587
41CM;"\""CAMARA ALUMINIO AKRAPOVIC ALTO RENDIMIENTO";;;;587
LARGO;ALUMINIO AKRAPOVIC ALTO RENDIMIENTO 41CM;;;;587
QUALITY;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [],\n  \""variantes\"": []\n}\n```""";;;;13959
DOBLE;"{\n \""codigo\"": \""03299\"",\n \""descripcion\"": \""CAMARA";;;;631
ALTO;"\""CAMARA DOBLE AKRAPOVIC SALIDAPUNTA CARBONO";;;;631
PUNTA;"\""codigo\"": \""04482\"",\n \""descripcion\"": \""CAMARA AKRAPOVIC";;;;631
CARBONO;"\""04482\"",\n \""descripcion\"": \""CAMARA AKRAPOVIC PUNTA";;;;631
40CM;"\""CAMARA AKRAPOVIC PUNTA CARBONO J-09";;;;631
LARGO;AKRAPOVIC PUNTA CARBONO J-09 40CM;;;;631
DOBLE;"{\n \""codigo\"": \""03271\"",\n \""descripcion\"": \""CAMARA";;;;643
PUNTA;"\""descripcion\"": \""CAMARA DOBLE AKRAPOVIC SALIDAROJA";;;;643
CARBONO;"\""CAMARA DOBLE AKRAPOVIC SALIDAROJA PUNTA";;;;643
REF;DOBLE AKRAPOVIC SALIDAROJA PUNTA CARBONO;;;;643
DOBLE;"""```json\n{\n \""codigo\"": \""\"",\n \""descripcion\"": \""CAMARA";;;;623
CAMARA;"""raw"": ""```json\n{\n  \""codigo\"": \""J-09\"",\n  \""descripcion\"": \""";;;;663
PUNTA;AKRAPOVIC;;;;663
CARBONO;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [\""imagen1\""],\n  \""variantes\"": []\n}\n```""";;;;663
DOBLE;"{\n \""codigo\"": \""03665\"",\n \""descripcion\"": \""CAMARA";;;;695
SALIDA;"\""codigo\"": \""03665\"",\n \""descripcion\"": \""CAMARA DOBLE";;;;695
PUNTA;"\""03665\"",\n \""descripcion\"": \""CAMARA DOBLE SALIDA";;;;695
CARBONO;"\""descripcion\"": \""CAMARA DOBLE SALIDA PUNTA";;;;695
EXTERNA;DOBLE SALIDA PUNTA CARBONO ABRAZADERA;;;;695
CARBONO;"{\n \""codigo\"": \""03270\"",\n \""descripcion\"": \""CAMARA";;;;695
LARGO;CARBONO OCTAGONAL J-85 40 CM;;;;695
CARBONO;"\""03826\"",\n \""descripcion\"": \""CAMARA AKRAPOVIC OCTAGONAL";;;;695
PROJECT;"\""codigo\"": \""03670\"",\n \""descripcion\"": \""CAMARA SC";;;;695
ALTO;"\""03670\"",\n \""descripcion\"": \""CAMARA SC PROJECT";;;;695
CROMO;"{\n \""codigo\"": \""03667\"",\n \""descripcion\"": \""CAMARA";;;;695
BICOLOR;"\""codigo\"": \""03667\"",\n \""descripcion\"": \""CAMARA CROMO";;;;695
CROMO;"{\n \""codigo\"": \""03825\"",\n \""descripcion\"": \""CAMARA";;;;731
TWPO;"\""codigo\"": \""03825\"",\n \""descripcion\"": \""CAMARA CROMO";;;;731
PUNTA;"\""03825\"",\n \""descripcion\"": \""CAMARA CROMO TWPO";;;;731
ALUMINIO;"\""descripcion\"": \""CAMARA CROMO TWPO PUNTA";;;;731
AZUL;"\""CAMARA CROMO TWPO PUNTA ALUMINIO";;;;731
CROMO;"{\n \""codigo\"": \""01445\"",\n \""descripcion\"": \""CAMARA";;;;731
TWPO;"\""codigo\"": \""01445\"",\n \""descripcion\"": \""CAMARA CROMO";;;;731
PUNTA;"\""01445\"",\n \""descripcion\"": \""CAMARA CROMO TWPO";;;;731
BICOLOR;"\""CAMARA CROMO TWPO PUNTA ALUMINIO";;;;731
CROMO;"{\n \""codigo\"": \""04484\"",\n \""descripcion\"": \""CAMARA";;;;731
PUNTA;"\""04484\"",\n \""descripcion\"": \""CAMARA CROMO FM";;;;731
TEFLON;"\""descripcion\"": \""CAMARA CROMO FM PUNTA";;;;731
VERDE;"\""CAMARA CROMO FM PUNTA TEFLON";;;;731
CROMO;"{\n \""codigo\"": \""03668\"",\n \""descripcion\"": \""CAMARA";;;;731
TWPO;"\""codigo\"": \""03668\"",\n \""descripcion\"": \""CAMARA CROMO";;;;731
PUNTA;"\""03668\"",\n \""descripcion\"": \""CAMARA CROMO TWPO";;;;731
CROMO;"\""descripcion\"": \""CAMARA CROMO TWPO PUNTA";;;;731
FRENO;"\""codigo\"": \""01455\"",\n \""descripcion\"": \""BOMBA DE";;;;763
TANQUE;"\""descripcion\"": \""BOMBA DE FRENO UNIVERSAL";;;;763
METALICO;"\""BOMBA DE FRENO UNIVERSAL TANQUE";;;;763
FRENO;"{\n \""codigo\"": \""02589\"",\n \""descripcion\"": \""BOMBA";;;;763
TANQUE;"\""02589\"",\n \""descripcion\"": \""BOMBA FRENO UNIVERSAL";;;;763
METALICO;"\""descripcion\"": \""BOMBA FRENO UNIVERSAL TANQUE";;;;763
FRENO;"{\n \""codigo\"": \""05261\"",\n \""descripcion\"": \""BOMBA";;;;763
